_id,classe,spell,pa,pm,wakfu,po,text,spell_type,sprite
5f048972b024eeb5d8a745b6,feca,Goutte,2,0,0,1 - 3,"Inflige des dommages Eau. Lancé sur un allié, lui applique un bouclier Eau qui réduit la prochaine entrave ennemie reçue.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2282.png
5f048975b024eeb5d8a745b7,feca,Fécalistofedes,5,0,0,2 - 3,Inflige des dommages Feu. Ce sort coûteux a une puissance importante pour compenser son manque de maniabilité.,élementaire,https://static.ankama.com/wakfu/portal/game/spell/2338.png
5f048978b024eeb5d8a745b8,feca,Météorite,3,0,0,1 - 3,"Inflige des dommages Feu. Lancé sur un allié, lui applique un bouclier Feu qui déclenchera un bonus en fin de tour du porteur.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2258.png
5f04897bb024eeb5d8a745b9,feca,Attaque Naturelle,3,0,0,1 - 4,"Inflige des dommages Feu. Lancé sur un ennemi, lui vole de l'Esquive. L'esquive volée peut ensuite être donnée à un allié avec ce même sort.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2288.png
5f04897fb024eeb5d8a745ba,feca,Magma,2,0,0,1 - 4,"Inflige des dommages Feu. Lancé sur un allié, lui applique un bouclier Feu qui déclenchera des dommages en fin de tour du porteur.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2289.png
5f048984b024eeb5d8a745bb,feca,Volcan,4,0,0,1 - 3,"Inflige des dommages Feu. Lancé sur un allié, lui applique un bouclier Feu qui déclenchera un bonus en fin de tour du porteur.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2290.png
5f048986b024eeb5d8a745bc,feca,Onde,2,0,0,1 - 3,"Applique un peu d'Armure sur un allié.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2328.png
5f048989b024eeb5d8a745bd,feca,Avalanche,4,0,0,1 - 3,"Inflige des dommages Eau. Lancé sur un allié, lui applique un bouclier Eau qui déclenchera un bonus défensif en cas d'attaque ennemie reçue.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2329.png
5f04898cb024eeb5d8a745be,feca,Orage,3,0,0,1 - 3,"Lancé sur une cible, ce sort inflige des dommages conséquents tout autour de celle-ci.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2327.png
5f048990b024eeb5d8a745bf,feca,Lame de fond,4,0,0,1 - 3,"Inflige des dommages Eau. Lancé sur un allié, lui applique un bouclier Eau qui déclenchera un bonus défensif en cas d'attaque ennemie reçue.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/682.png
5f048994b024eeb5d8a745c0,feca,Frappe Tellurique,4,0,0,1 - 3,"Inflige des dommages Terre. Lancé sur un allié, lui applique un bouclier Terre qui déclenchera un échange de position en début de tour du porteur.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/661.png
5f048998b024eeb5d8a745c1,feca,Orbe défensif,4,0,0,1 - 3,"Inflige des dommages Terre. Lancé sur un allié, lui applique un bouclier Terre qui déclenchera un bonus défensif au début du prochain tour du Féca.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/2372.png
5f04899bb024eeb5d8a745c2,feca,Bastion,2,0,0,1 - 4,"Inflige des dommages Terre. Lancé sur un allié, le Féca prendra 20% de ses dommages subis à sa place.",élementaire,https://static.ankama.com/wakfu/portal/game/spell/659.png
